MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,hour,day_of_week,month,status_encoded,anomaly
366832740,2024-01-01 00:00:07,28.28345,-80.11717,12.0,354.2,354.0,CHRISTIAN REINAUER,IMO9263289,WDA6472,52.0,12.0,172.0,23.0,8.5,12.0,A,0,0,1,11,-1
366832740,2024-01-01 00:30:47,28.38467,-80.13169,12.1,353.6,354.0,CHRISTIAN REINAUER,IMO9263289,WDA6472,52.0,12.0,172.0,23.0,8.5,12.0,A,0,0,1,11,-1
366832740,2024-01-01 00:34:18,28.39648,-80.13322,12.1,353.8,354.0,CHRISTIAN REINAUER,IMO9263289,WDA6472,52.0,12.0,172.0,23.0,8.5,12.0,A,0,0,1,11,-1
366832740,2024-01-01 00:35:27,28.40039,-80.13371,12.1,353.7,355.0,CHRISTIAN REINAUER,IMO9263289,WDA6472,52.0,12.0,172.0,23.0,8.5,12.0,A,0,0,1,11,-1
366832740,2024-01-01 00:36:38,28.40431,-80.1342,12.1,354.1,355.0,CHRISTIAN REINAUER,IMO9263289,WDA6472,52.0,12.0,172.0,23.0,8.5,12.0,A,0,0,1,11,-1
366832740,2024-01-01 00:37:46,28.40816,-80.13466,12.1,354.0,354.0,CHRISTIAN REINAUER,IMO9263289,WDA6472,52.0,12.0,172.0,23.0,8.5,12.0,A,0,0,1,11,-1
366832740,2024-01-01 00:40:07,28.41596,-80.1356,12.0,354.0,354.0,CHRISTIAN REINAUER,IMO9263289,WDA6472,52.0,12.0,172.0,23.0,8.5,12.0,A,0,0,1,11,-1
366832740,2024-01-01 00:38:58,28.41212,-80.13514,12.1,353.7,354.0,CHRISTIAN REINAUER,IMO9263289,WDA6472,52.0,12.0,172.0,23.0,8.5,12.0,A,0,0,1,11,-1
366832740,2024-01-01 00:41:18,28.41989,-80.13605,12.0,353.9,354.0,CHRISTIAN REINAUER,IMO9263289,WDA6472,52.0,12.0,172.0,23.0,8.5,12.0,A,0,0,1,11,-1
366832740,2024-01-01 11:03:37,30.27631,-80.76132,10.5,0.0,1.0,CHRISTIAN REINAUER,IMO9263289,WDA6472,52.0,12.0,172.0,23.0,8.5,12.0,A,11,0,1,11,-1
366832740,2024-01-01 11:16:47,30.31625,-80.76212,11.0,358.9,0.0,CHRISTIAN REINAUER,IMO9263289,WDA6472,52.0,12.0,172.0,23.0,8.5,12.0,A,11,0,1,11,-1
366832740,2024-01-01 18:02:37,31.57549,-80.56132,11.1,10.4,7.0,CHRISTIAN REINAUER,IMO9263289,WDA6472,52.0,12.0,172.0,23.0,8.5,12.0,A,18,0,1,11,-1
366832740,2024-01-01 18:04:48,31.58215,-80.55988,11.2,10.4,7.0,CHRISTIAN REINAUER,IMO9263289,WDA6472,52.0,12.0,172.0,23.0,8.5,12.0,A,18,0,1,11,-1
366832740,2024-01-01 18:05:57,31.58562,-80.55913,11.2,10.5,7.0,CHRISTIAN REINAUER,IMO9263289,WDA6472,52.0,12.0,172.0,23.0,8.5,12.0,A,18,0,1,11,-1
366832740,2024-01-01 18:08:17,31.5928,-80.55762,11.1,10.3,7.0,CHRISTIAN REINAUER,IMO9263289,WDA6472,52.0,12.0,172.0,23.0,8.5,12.0,A,18,0,1,11,-1
366832740,2024-01-01 18:07:07,31.58919,-80.55838,11.2,10.4,7.0,CHRISTIAN REINAUER,IMO9263289,WDA6472,52.0,12.0,172.0,23.0,8.5,12.0,A,18,0,1,11,-1
