MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,hour,day_of_week,month,status_encoded,anomaly
367145870,2024-01-01 19:17:16,41.57777,-70.27822,33.3,160.9,162.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,19,0,1,8,-1
367145870,2024-01-01 22:12:26,41.62775,-70.27405,35.3,209.3,220.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,22,0,1,8,-1
367145870,2024-01-01 22:13:28,41.62226,-70.28523,34.5,237.3,239.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,22,0,1,8,-1
367145870,2024-01-01 22:14:30,41.61504,-70.2923,31.7,184.2,177.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,22,0,1,8,-1
367145870,2024-01-01 22:16:34,41.59666,-70.28614,33.2,168.8,169.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,22,0,1,8,-1
367145870,2024-01-01 22:15:32,41.60594,-70.2891,33.1,163.1,163.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,22,0,1,8,-1
367145870,2024-01-01 22:18:40,41.57833,-70.27859,32.9,150.3,150.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,22,0,1,8,-1
367145870,2024-01-01 22:20:44,41.56187,-70.26581,32.9,149.3,149.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,22,0,1,8,-1
367145870,2024-01-01 22:21:46,41.55367,-70.25941,33.1,149.8,150.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,22,0,1,8,-1
367145870,2024-01-01 22:22:48,41.54544,-70.25302,33.2,149.7,149.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,22,0,1,8,-1
367145870,2024-01-01 22:26:56,41.51212,-70.22827,33.1,152.2,151.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,22,0,1,8,-1
367145870,2024-01-01 22:27:58,41.50364,-70.22211,33.0,151.2,152.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,22,0,1,8,-1
367145870,2024-01-01 22:30:02,41.48694,-70.20998,33.1,152.9,152.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,22,0,1,8,-1
367145870,2024-01-01 22:33:08,41.46173,-70.19208,33.1,151.8,152.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,22,0,1,8,-1
367145870,2024-01-01 22:32:06,41.47011,-70.19807,33.1,151.9,151.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,22,0,1,8,-1
367145870,2024-01-01 22:31:04,41.47853,-70.20404,33.1,151.8,152.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,22,0,1,8,-1
367145870,2024-01-01 22:35:12,41.44401,-70.18274,33.3,163.5,163.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,22,0,1,8,-1
367145870,2024-01-01 22:38:18,41.41655,-70.17182,33.6,165.9,166.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,22,0,1,8,-1
367145870,2024-01-01 22:29:00,41.49549,-70.21602,33.1,150.3,151.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,22,0,1,8,-1
367145870,2024-01-01 22:39:20,41.40722,-70.16796,33.4,162.0,163.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,22,0,1,8,-1
367145870,2024-01-01 22:42:26,41.38123,-70.15193,33.4,154.4,154.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,22,0,1,8,-1
367145870,2024-01-01 22:36:14,41.43514,-70.17861,33.4,163.6,165.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,22,0,1,8,-1
367145870,2024-01-01 22:37:16,41.42583,-70.17531,33.5,165.2,164.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,22,0,1,8,-1
367145870,2024-01-01 22:45:32,41.35506,-70.13518,33.4,153.8,154.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,22,0,1,8,-1
367145870,2024-01-01 22:47:36,41.3379,-70.12377,33.3,153.1,154.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,22,0,1,8,-1
367145870,2024-01-01 22:40:22,41.39864,-70.16295,33.2,152.2,151.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,22,0,1,8,-1
367145870,2024-01-01 22:48:38,41.32963,-70.1174,33.1,146.3,146.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,22,0,1,8,-1
367145870,2024-01-01 22:50:42,41.31356,-70.10344,33.6,151.4,153.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,22,0,1,8,-1
367145870,2024-01-01 22:49:40,41.3218,-70.11003,33.5,146.6,148.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,22,0,1,8,-1
367145870,2024-01-01 22:43:28,41.37244,-70.14616,33.5,154.1,153.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,22,0,1,8,-1
